Sample_name	Labels	group	Date	Lat	Long	locality	culture
MN2001	MN2001      Minino-2       Butovo	East_11-8_kaBP	10550	59.42	39.3	Minino-2 	Butovo
MN2002	MN2002      Minino-2       Butovo	East_11-8_kaBP	10657	59.42	39.3	Minino-2 	Butovo
MN2003	MN2003      Minino-2       Butovo	East_11-8_kaBP	10526	59.42	39.3	Minino-2 	Butovo
CMS001	CMS001      Moita do Sebastiao       Muge	North-West_11-8_kaBP	8067	39.246374	-8.647467	Moita do Sebastiao 	Muge
stp001	stp001      Mont Saint Pierre       Rhine-Meuse-Scheld	North-West_11-8_kaBP	8119	49.257	3.973	Mont Saint Pierre 	Rhine-Meuse-Scheld
OKL001	OKL001      Oberkassel       Federmesser	North-West_14-11_kaBP	13958	50.7119	7.1675	Oberkassel 	Federmesser
OKL002	OKL002      Oberkassel       Federmesser	North-West_14-11_kaBP	13433	50.7119	7.1675	Oberkassel 	Federmesser
Ogof_yr_ychen_1	Ogof_yr_ychen_1      Ogof-Yr-Ychen       Maglemose	North-West_11-8_kaBP	9580	51.63253	-4.692903	Ogof-Yr-Ychen 	Maglemose
NEO122	NEO122      Orehoved Sejlrende       Kongemose	North-West_11-8_kaBP	8160	54.96	11.85	Orehoved Sejlrende 	Kongemose
NEO123	NEO123      Orehoved Sejlrende       Kongemose	North-West_11-8_kaBP	8249	54.96	11.85	Orehoved Sejlrende 	Kongemose
I4081	I4081      Ostrovul-Corbului       Iron_Gates_Mesolithic	South_11-8_kaBP	9361	44.517	22.722	Ostrovul-Corbului 	Iron_Gates_Mesolithic
I4582	I4582      Ostrovul-Corbului       Iron_Gates_Mesolithic	South_11-8_kaBP	8618	44.517	22.722	Ostrovul-Corbului 	Iron_Gates_Mesolithic
OC	OC      Ostrovul-Corbului       Iron_Gates_Mesolithic	South_11-8_kaBP	8704	44.517	22.722	Ostrovul-Corbului 	Iron_Gates_Mesolithic
I5233	I5233      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	8001	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5234	I5234      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	9500	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5235	I5235      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	10835	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5236	I5236      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	10038	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5237	I5237      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	9500	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5238	I5238      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	9993	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5239	I5239      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	10333	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5240	I5240      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	10805	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5242	I5242      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	10530	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5244	I5244      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	10785	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
I5409	I5409      Padina       Iron_Gates_Mesolithic	South_11-8_kaBP	9500	44.595879	22.010568	Padina 	Iron_Gates_Mesolithic
NEO554	NEO554      Pogostishche-1       Veretye	East_11-8_kaBP	8236	60.45	38.633	Pogostishche-1 	Veretye
Ranchot88	Ranchot88      Ranchot       Sauveterrian	North-West_11-8_kaBP	10134	47.91	5.43	Ranchot 	Sauveterrian
Rigney1	Rigney1      Rigney       Magdalenian	North-West_17-14_kaBP	15459	47.23	6.1	Rigney 	Magdalenian
RIP001	RIP001      Riparo Tagliente       Epigravettian	South_17-14_kaBP	16736	45.5405501	11.0056531	Riparo Tagliente 	Epigravettian
Rochedane	Rochedane      Rochedane       Azilian	North-West_14-11_kaBP	13027	47.21	6.45	Rochedane 	Azilian
NEO19	NEO19      Rønsten       NA	North-West_11-8_kaBP	8268	56.27	10.472	Rønsten 	NA
STO001	STO001      San Teodoro       Epigravettian	South_14-11_kaBP	13450	37.8478	14.6937	San Teodoro 	Epigravettian
NEO694	NEO694      Santa Maira       Asturian	North-West_11-8_kaBP	9477	38.73	-0.463	Santa Maira 	Asturian
I4607	I4607      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	8927	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
I5411	I5411      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	8600	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
I5436	I5436      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	9025	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
NEO671	NEO671      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	9188	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
NEO672	NEO672      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	9361	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
SC1-Meso	SC1-Meso      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	8814	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
SC2	SC2      Schela-Cladovei       Iron_Gates_Mesolithic	South_11-8_kaBP	8825	44.626111	22.605833	Schela-Cladovei 	Iron_Gates_Mesolithic
Sidelkino	Sidelkino      Sidelkino-Mayak       Kukrek	East_14-11_kaBP	11321	54.53	51.11	Sidelkino-Mayak 	Kukrek
Sbj001	Sbj001      Stora Bjers      Maglemose	North-West_11-8_kaBP	8771	57.792	18.538	Stora Bjers	Maglemose
Sf11	Sf11      Stora Förvar      Maglemose	North-West_11-8_kaBP	8892	57.285	17.971	Stora Förvar	Maglemose
Sf12	Sf12      Stora Förvar      Maglemose	North-West_11-8_kaBP	8895	57.285	17.971	Stora Förvar	Maglemose
Sf913	Sf913      Stora Förvar      Maglemose	North-West_11-8_kaBP	9144	57.285	17.971	Stora Förvar	Maglemose
NEO91	NEO91      Strøby Grøftemark      NA	North-West_11-8_kaBP	9112	55.393	12.307	Strøby Grøftemark	NA
DOB001	DOB001      Urdhöhle       Beuronian	North-West_11-8_kaBP	9483	50.688401	11.640646	Urdhöhle 	Beuronian
NEO497	NEO497      Vasylivka-1       Kukrek	East_14-11_kaBP	11275	48.220639	35.4035	Vasylivka-1 	Kukrek
NEO501	NEO501      Vasylivka-1       Kukrek	East_14-11_kaBP	11254	48.220639	35.4035	Vasylivka-1 	Kukrek
VSL002	VSL002      Vasylivka-1       Kukrek	East_11-8_kaBP	10483	48.220639	35.4035	Vasylivka-1 	Kukrek
I1736	I1736      Vasylivka-2       Kukrek	East_11-8_kaBP	8110	47.434167	35.276389	Vasylivka-2 	Kukrek
I1737	I1737      Vasylivka-2       Kukrek	East_11-8_kaBP	10358	47.434167	35.276389	Vasylivka-2 	Kukrek
I1763	I1763      Vasylivka-3       Kukrek	East_11-8_kaBP	10081	47.434167	35.276389	Vasylivka-3 	Kukrek
I1733	I1733      Vasylivka-4       Kukrek	East_11-8_kaBP	10200	47.434167	35.276389	Vasylivka-4 	Kukrek
I1875	I1875      Vela-Spila       NA	South_11-8_kaBP	9056	42.96723	16.70719	Vela-Spila 	NA
Villabruna	Villabruna      Villabruna       Epigravettian	South_17-14_kaBP	14021	46.15	12.21	Villabruna 	Epigravettian
I4660	I4660      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	9713	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4870	I4870      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	8740	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4871	I4871      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	9750	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4872	I4872      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	9750	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4874	I4874      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	8499	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4875	I4875      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	8458	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4876	I4876      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	8455	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4877	I4877      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	8505	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I4881	I4881      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	8869	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
