Sample_name	Labels	group	Date	Lat	Long
I5409	I5409 South 11-8_kaBP	South_11-8_kaBP	9500	44.595879	22.010568
I5411	I5411 South 11-8_kaBP	South_11-8_kaBP	8600	44.626111	22.605833
I5436	I5436 South 11-8_kaBP	South_11-8_kaBP	9025	44.626111	22.605833
I5771	I5771 South 11-8_kaBP	South_11-8_kaBP	9750	44.533055	22.04991
I5773	I5773 South 11-8_kaBP	South_11-8_kaBP	10040	44.533055	22.04991
I5876	I5876 East 11-8_kaBP	East_11-8_kaBP	8832	48.91422	33.76493
I5885	I5885 East 11-8_kaBP	East_11-8_kaBP	8099	48.91422	33.76493
Iboussieres25.1	Iboussieres25-1 West-North 14-11_kaBP	West-North_14-11_kaBP	11675	44.29	4.46
Iboussieres31.2	Iboussieres31-2 West-North 14-11_kaBP	West-North_14-11_kaBP	11675	44.29	4.46
KentCavern_1	KentCavern_1 West-North 11-8_kaBP	West-North_11-8_kaBP	9257	50.468169	-3.503071
KVH002	KVH002 East 11-8_kaBP	East_11-8_kaBP	8330	60.4565	38.639056
Latvia_HG1	Latvia_HG1 East 11-8_kaBP	East_11-8_kaBP	8316	56.2833	25.1333
Loschbour	Loschbour West-North 11-8_kaBP	West-North_11-8_kaBP	8025	49.81	6.4
MAF001	MAF001 West-North 11-8_kaBP	West-North_11-8_kaBP	8865	48.8	2.43
MAZ003.pmds3filter	MAZ003.pmds3filter East 17-14_kaBP	East_17-14_kaBP	15572	49.9846	20.2846
MN2001	MN2001 East 11-8_kaBP	East_11-8_kaBP	10550	59.42	39.3
MN2002	MN2002 East 11-8_kaBP	East_11-8_kaBP	10657	59.42	39.3
MN2003	MN2003 East 11-8_kaBP	East_11-8_kaBP	10526	59.42	39.3
MNN001_002	MNN001_002 East 11-8_kaBP	East_11-8_kaBP	8540	59.42	39.3
MNN005	MNN005 East 11-8_kaBP	East_11-8_kaBP	10499	59.42	39.3
MNN006	MNN006 East 11-8_kaBP	East_11-8_kaBP	10657	59.42	39.3
MNN007	MNN007 East 11-8_kaBP	East_11-8_kaBP	10916	59.42	39.3
MPR001	MPR001 West-North 11-8_kaBP	West-North_11-8_kaBP	10451	50.43	4.8
NEO122	NEO122 West-North 11-8_kaBP	West-North_11-8_kaBP	8160	54.96	11.85
NEO123	NEO123 West-North 11-8_kaBP	West-North_11-8_kaBP	8249	54.96	11.85
NEO17	NEO17 West-North 11-8_kaBP	West-North_11-8_kaBP	9384	58.064	7.7437
NEO18	NEO18 West-North 11-8_kaBP	West-North_11-8_kaBP	9830	58.391	13.558
NEO19	NEO19 West-North 11-8_kaBP	West-North_11-8_kaBP	8268	56.27	10.472
NEO254	NEO254 West-North 11-8_kaBP	West-North_11-8_kaBP	10420	55.404	10.133
NEO27	NEO27 West-North 11-8_kaBP	West-North_11-8_kaBP	9648	57.742	13.403
NEO307	NEO307 East 11-8_kaBP	East_11-8_kaBP	8104	56.2833	25.1333
NEO497	NEO497 East 14-11_kaBP	East_14-11_kaBP	11275	48.220639	35.4035
NEO501	NEO501 East 14-11_kaBP	East_14-11_kaBP	11254	48.220639	35.4035
NEO527	NEO527 East 14-11_kaBP	East_14-11_kaBP	11533	48.305	35.136
NEO536	NEO536 East 11-8_kaBP	East_11-8_kaBP	10181	59.42	39.3
NEO537	NEO537 East 11-8_kaBP	East_11-8_kaBP	8434	59.42	39.3
NEO554	NEO554 East 11-8_kaBP	East_11-8_kaBP	8236	60.45	38.633
NEO555	NEO555 East 11-8_kaBP	East_11-8_kaBP	8456	60.467835	38.900615
NEO557	NEO557 East 11-8_kaBP	East_11-8_kaBP	8342	60.467835	38.900615
NEO558	NEO558 East 11-8_kaBP	East_11-8_kaBP	8264	60.467835	38.900615
NEO559	NEO559 East 11-8_kaBP	East_11-8_kaBP	8449	60.467835	38.900615
NEO560	NEO560 East 11-8_kaBP	East_11-8_kaBP	8117	60.467835	38.900615
NEO646	NEO646 West-North 11-8_kaBP	West-North_11-8_kaBP	8413	43.404	-4.707
NEO671	NEO671 South 11-8_kaBP	South_11-8_kaBP	9188	44.626111	22.605833
NEO672	NEO672 South 11-8_kaBP	South_11-8_kaBP	9361	44.626111	22.605833
NEO677	NEO677 South 11-8_kaBP	South_11-8_kaBP	9175	44.533055	22.04991
NEO694	NEO694 West-North 11-8_kaBP	West-North_11-8_kaBP	9477	38.73	-0.463
NEO759	NEO759 West-North 11-8_kaBP	West-North_11-8_kaBP	9167	55.402	12.367
NEO87	NEO87 East 11-8_kaBP	East_11-8_kaBP	8419	56.666	38.016
NEO88	NEO88 East 11-8_kaBP	East_11-8_kaBP	8265	56.666	38.016
NEO91	NEO91 West-North 11-8_kaBP	West-North_11-8_kaBP	9112	55.393	12.307
OC	OC South 11-8_kaBP	South_11-8_kaBP	8704	44.517	22.722
Ogof_yr_ychen_1	Ogof_yr_ychen_1 West-North 11-8_kaBP	West-North_11-8_kaBP	9580	51.63253	-4.692903
OKL001	OKL001 West-North 14-11_kaBP	West-North_14-11_kaBP	13958	50.7119	7.1675
OKL002	OKL002 West-North 14-11_kaBP	West-North_14-11_kaBP	13433	50.7119	7.1675
poz503	poz503 East 11-8_kaBP	East_11-8_kaBP	8597	53.827056	22.042535
PRD001	PRD001 South 14-11_kaBP	South_14-11_kaBP	12991	46.25	12.89
R11	R11 South 14-11_kaBP	South_14-11_kaBP	11868	41.958	13.5445
R15	R15 South 11-8_kaBP	South_11-8_kaBP	9086	41.958	13.5445
R7	R7 South 11-8_kaBP	South_11-8_kaBP	10706	41.958	13.5445
Ranchot88	Ranchot88 West-North 11-8_kaBP	West-North_11-8_kaBP	10134	47.91	5.43
Rigney1	Rigney1 West-North 17-14_kaBP	West-North_17-14_kaBP	15459	47.23	6.1
RIP001	RIP001 South 17-14_kaBP	South_17-14_kaBP	16736	45.5405501	11.0056531
Rochedane	Rochedane West-North 14-11_kaBP	West-North_14-11_kaBP	13027	47.21	6.45
Sbj001	Sbj001 West-North 11-8_kaBP	West-North_11-8_kaBP	8771	57.792	18.538
SC1.Meso	SC1-Meso South 11-8_kaBP	South_11-8_kaBP	8814	44.626111	22.605833
SC2	SC2 South 11-8_kaBP	South_11-8_kaBP	8825	44.626111	22.605833
Sf11	Sf11 West-North 11-8_kaBP	West-North_11-8_kaBP	8892	57.285	17.971
Sf12	Sf12 West-North 11-8_kaBP	West-North_11-8_kaBP	8895	57.285	17.971
Sf913	Sf913 West-North 11-8_kaBP	West-North_11-8_kaBP	9144	57.285	17.971
Sidelkino	Sidelkino East 14-11_kaBP	East_14-11_kaBP	11321	54.53	51.11
STO001	STO001 South 14-11_kaBP	South_14-11_kaBP	13450	37.8478	14.6937
stp001	stp001 West-North 11-8_kaBP	West-North_11-8_kaBP	8119	49.257	3.973
UOO012	UOO012 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO015	UOO015 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO023	UOO023 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO025	UOO025 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO029	UOO029 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO033	UOO033 East 11-8_kaBP	East_11-8_kaBP	8296	61.937725	35.260893
UOO035_056	UOO035_056 East 11-8_kaBP	East_11-8_kaBP	8120	61.937725	35.260893
UOO037	UOO037 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO047	UOO047 East 11-8_kaBP	East_11-8_kaBP	8220	61.937725	35.260893
UOO051	UOO051 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO052	UOO052 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO053	UOO053 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
UOO059	UOO059 East 11-8_kaBP	East_11-8_kaBP	8125	61.937725	35.260893
utigKAR001	utigKAR001 East 11-8_kaBP	East_11-8_kaBP	8321	60.467835	38.900615
UZZ26	UZZ26 South 11-8_kaBP	South_11-8_kaBP	10666	38.1101	12.7866
UZZ40	UZZ40 South 11-8_kaBP	South_11-8_kaBP	8279	38.1101	12.7866
UZZ4446	UZZ4446 South 11-8_kaBP	South_11-8_kaBP	8488	38.1101	12.7866
UZZ5054	UZZ5054 South 11-8_kaBP	South_11-8_kaBP	10661	38.1101	12.7866
UZZ69	UZZ69 South 11-8_kaBP	South_11-8_kaBP	8628	38.1101	12.7866
UZZ79	UZZ79 South 11-8_kaBP	South_11-8_kaBP	8580	38.1101	12.7866
UZZ80	UZZ80 South 11-8_kaBP	South_11-8_kaBP	8580	38.1101	12.7866
UZZ81	UZZ81 South 11-8_kaBP	South_11-8_kaBP	8578	38.1101	12.7866
UZZ82	UZZ82 South 11-8_kaBP	South_11-8_kaBP	8580	38.1101	12.7866
UZZ96	UZZ96 South 11-8_kaBP	South_11-8_kaBP	10250	38.1101	12.7866
Villabruna	Villabruna South 17-14_kaBP	South_17-14_kaBP	14021	46.15	12.21
VLASA32.2	VLASA32-2 South 11-8_kaBP	South_11-8_kaBP	10223	44.533055	22.04991
VLASA7.3	VLASA7-3 South 11-8_kaBP	South_11-8_kaBP	9170	44.533055	22.04991
VSL002	VSL002 East 11-8_kaBP	East_11-8_kaBP	10483	48.220639	35.4035
Goughs_Cave	Goughs_Cave West-North 17-14_kaBP	West-North_17-14_kaBP	14750	51.28191	-2.765488
Kendricks_Cave	Kendricks_Cave West-North 14-11_kaBP	West-North_14-11_kaBP	11905	53.333481	-3.855859
